,mSA,iou_threshold,projection,box_extension
127,0.0024390243902439024,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.15
128,0.0024390243902439024,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.175
129,0.0036585365853658534,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.2
130,0.0024096385542168677,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.225
131,0.0023809523809523807,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.25
132,0.006054519368723099,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.0
133,0.013897126969416126,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.025
134,0.0023809523809523807,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.05
135,0.0035574229691876747,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.075
136,0.0023809523809523807,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.1
137,0.001176470588235294,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.125
138,0.001176470588235294,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.15
139,0.0023809523809523807,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.175
140,0.0024096385542168677,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.2
141,0.0023809523809523807,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.225
142,0.0024096385542168677,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.25
143,0.09217260100182575,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.0
144,0.1799329848508232,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.025
145,0.13693492316731995,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.05
146,0.14267147068087208,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.075
147,0.12164761192156895,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.1
148,0.130269004370569,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.125
149,0.13781897942551846,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.15
150,0.15478048808995484,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.175
151,0.14327258396661383,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.2
152,0.1358005189992447,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.225
