,mSA,iou_threshold,projection,box_extension
199,0.0007692307692307692,0.7,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.025
200,0.0003846153846153846,0.7,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.05
201,0.0003846153846153846,0.7,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.075
202,0.0034365991183724887,0.7,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.1
203,0.0034365991183724887,0.7,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.125
204,0.0038256353694777053,0.7,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.15
205,0.0042176757615180974,0.7,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.175
206,0.0034365991183724887,0.7,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.2
207,0.004991666599677919,0.7,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.225
208,0.0050109092395764785,0.7,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.25
209,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.0
210,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.025
211,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.05
212,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.075
213,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.1
214,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.125
215,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.15
216,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.175
217,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.2
218,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.225
219,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.25
220,0.0,0.7,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.0
221,0.0,0.7,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.025
222,0.0,0.7,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.05
223,0.0,0.7,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.075
224,0.003038944578868533,0.7,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.1
225,0.003038944578868533,0.7,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.125
226,0.0030505326096421214,0.7,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.15
227,0.0034235264730432063,0.7,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.175
228,0.0034497719822805368,0.7,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.2
229,0.0034235264730432063,0.7,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.225
230,0.0030505326096421214,0.7,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.25
231,0.00038022813688212925,0.7,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.0
232,0.0,0.7,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.025
233,0.0,0.7,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.05
234,0.0,0.7,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.075
235,0.0,0.7,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.1
236,0.0,0.7,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.125
237,0.0,0.7,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.15
238,0.0,0.7,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.175
239,0.0,0.7,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.2
240,0.0,0.7,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.225
241,0.0,0.7,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.25
242,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.0
243,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.025
244,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.05
245,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.075
246,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.1
247,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.125
248,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.15
249,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.175
